corpus,model,protocol,speaker_id,status,reason,n_required_seeds,n_complete_seeds,n_utterances_per_seed,uar_seed_mean,accuracy_seed_mean,macro_f1_seed_mean
cremad,transformer,random,1021,complete,,3,3,82,0.48412698412698402,0.47560975609756095,0.4558485017316749
cremad,transformer,random,1022,complete,,3,3,82,0.56283068783068779,0.56097560975609762,0.54234299200587277
cremad,transformer,random,1023,complete,,3,3,82,0.46097883597883599,0.4593495934959349,0.42352073327349965
cremad,transformer,random,1024,complete,,3,3,82,0.50462962962962965,0.5,0.49437002801147001
cremad,transformer,random,1025,complete,,3,3,82,0.42923280423280424,0.42682926829268292,0.40512923470895462
cremad,transformer,random,1026,complete,,3,3,82,0.59854497354497349,0.59349593495934971,0.56925317644189188
cremad,transformer,random,1027,complete,,3,3,82,0.59325396825396826,0.58943089430894313,0.57372987793825769
cremad,transformer,random,1028,complete,,3,3,82,0.51124338624338617,0.50406504065040647,0.47384289116788064
cremad,transformer,random,1029,complete,,3,3,82,0.46097883597883599,0.45528455284552843,0.41599991377225165
cremad,transformer,random,1030,complete,,3,3,82,0.62037037037037035,0.61382113821138207,0.59913171812153143
cremad,transformer,random,1031,complete,,3,3,82,0.42724867724867727,0.41463414634146339,0.35584729343329274
cremad,transformer,random,1032,complete,,3,3,82,0.48346560846560843,0.47967479674796748,0.4826237018626604
cremad,transformer,random,1033,complete,,3,3,82,0.52513227513227501,0.52439024390243905,0.5247174682877781
cremad,transformer,random,1034,complete,,3,3,82,0.4768518518518518,0.47154471544715443,0.45351177548567106
cremad,transformer,random,1035,complete,,3,3,82,0.50992063492063489,0.50813008130081305,0.50390704498178673
cremad,transformer,random,1036,complete,,3,3,82,0.3439153439153439,0.34146341463414637,0.32694737141931318
cremad,transformer,random,1037,complete,,3,3,82,0.68055555555555547,0.67479674796747968,0.66150631349793454
cremad,transformer,random,1038,complete,,3,3,82,0.6058201058201057,0.60162601626016265,0.59365989456749146
cremad,transformer,random,1039,complete,,3,3,82,0.49007936507936511,0.48373983739837395,0.46464270035219851
cremad,transformer,random,1040,complete,,3,3,82,0.54761904761904756,0.54471544715447162,0.53182139635409686
cremad,transformer,random,1041,complete,,3,3,82,0.580026455026455,0.58536585365853666,0.593557181689501
cremad,transformer,random,1042,complete,,3,3,82,0.39153439153439157,0.38211382113821141,0.3434452732057694
cremad,transformer,random,1043,complete,,3,3,82,0.58333333333333337,0.57723577235772361,0.55615448538230561
cremad,transformer,random,1044,complete,,3,3,82,0.53835978835978837,0.53658536585365857,0.52345818099024422
cremad,transformer,random,1045,complete,,3,3,82,0.5707671957671957,0.56097560975609762,0.53147630955213232
cremad,transformer,random,1046,complete,,3,3,82,0.41137566137566134,0.40243902439024398,0.33514821537567313
cremad,transformer,random,1047,complete,,3,3,82,0.73214285714285721,0.72764227642276413,0.72555707243817491
cremad,transformer,random,1048,complete,,3,3,82,0.56878306878306872,0.56504065040650409,0.55354565725084137
cremad,transformer,random,1049,complete,,3,3,82,0.52976190476190477,0.5325203252032521,0.52266389998763385
