corpus,model,protocol,seed,speaker_id,status,reason,n_utterances,uar,accuracy,macro_f1
ravdess,cnn,random,2,08,complete,,60,0.71875,0.69999999999999996,0.67103443941679242
ravdess,cnn,random,2,09,complete,,60,0.46875,0.46666666666666667,0.45717126011243658
ravdess,cnn,random,2,10,complete,,60,0.53125,0.51666666666666672,0.47369403901911639
ravdess,cnn,random,2,11,complete,,60,0.609375,0.59999999999999998,0.50526631864867166
ravdess,cnn,random,2,12,complete,,60,0.609375,0.58333333333333337,0.55683760683760686
ravdess,cnn,random,2,13,complete,,60,0.390625,0.36666666666666664,0.32307359307359307
ravdess,cnn,random,2,14,complete,,60,0.453125,0.45000000000000001,0.40049019607843139
ravdess,cnn,random,2,15,complete,,60,0.515625,0.5,0.47844242960342032
ravdess,cnn,random,2,16,complete,,60,0.71875,0.71666666666666667,0.69258131896483288
ravdess,cnn,random,2,17,complete,,60,0.515625,0.5,0.47808695432534443
ravdess,cnn,random,2,18,complete,,60,0.546875,0.55000000000000004,0.51542638647901806
ravdess,cnn,random,2,19,complete,,60,0.640625,0.6166666666666667,0.57276440879382062
ravdess,cnn,random,2,20,complete,,60,0.609375,0.58333333333333337,0.55913918597742118
ravdess,cnn,random,2,21,complete,,60,0.5625,0.55000000000000004,0.50255392755392758
ravdess,cnn,random,2,22,complete,,60,0.546875,0.51666666666666672,0.49531095839145373
ravdess,cnn,random,2,23,complete,,60,0.5625,0.56666666666666665,0.47858187134502927
ravdess,cnn,random,2,24,complete,,60,0.71875,0.69999999999999996,0.65405085110967465
ravdess,cnn,groupkfold,0,01,complete,,60,0.25,0.25,0.17733516483516484
ravdess,cnn,groupkfold,0,02,complete,,60,0.453125,0.41666666666666669,0.38435468040731197
ravdess,cnn,groupkfold,0,03,complete,,60,0.40625,0.38333333333333336,0.32844231791600209
ravdess,cnn,groupkfold,0,04,complete,,60,0.46875,0.45000000000000001,0.42370981976960237
ravdess,cnn,groupkfold,0,05,complete,,60,0.390625,0.40000000000000002,0.32899100899100897
ravdess,cnn,groupkfold,0,06,complete,,60,0.25,0.26666666666666666,0.16701651002176598
ravdess,cnn,groupkfold,0,07,complete,,60,0.375,0.40000000000000002,0.36069930671323863
ravdess,cnn,groupkfold,0,08,complete,,60,0.5625,0.53333333333333333,0.49627774186597717
ravdess,cnn,groupkfold,0,09,complete,,60,0.234375,0.25,0.18968531468531469
ravdess,cnn,groupkfold,0,10,complete,,60,0.453125,0.45000000000000001,0.45277777777777778
ravdess,cnn,groupkfold,0,11,complete,,60,0.28125,0.25,0.15844398656898656
ravdess,cnn,groupkfold,0,12,complete,,60,0.484375,0.45000000000000001,0.38516663075486601
ravdess,cnn,groupkfold,0,13,complete,,60,0.3125,0.29999999999999999,0.25039635909201124
ravdess,cnn,groupkfold,0,14,complete,,60,0.40625,0.41666666666666669,0.35856138414961947
ravdess,cnn,groupkfold,0,15,complete,,60,0.46875,0.46666666666666667,0.40665375814117233
ravdess,cnn,groupkfold,0,16,complete,,60,0.359375,0.38333333333333336,0.24707602339181284
ravdess,cnn,groupkfold,0,17,complete,,60,0.265625,0.25,0.26422254216371865
ravdess,cnn,groupkfold,0,18,complete,,60,0.4375,0.43333333333333335,0.38563596491228069
ravdess,cnn,groupkfold,0,19,complete,,60,0.546875,0.53333333333333333,0.48073950714036917
ravdess,cnn,groupkfold,0,20,complete,,60,0.515625,0.48333333333333334,0.46252838686081721
ravdess,cnn,groupkfold,0,21,complete,,60,0.296875,0.31666666666666665,0.18992624223602483
